23.01.2019 23:54:04;stage;file;history_win;usevol;dueling;traineval;allprices;allprices2;candlenum;maxProfit;maxLOSS;avgProfit;avgLOSS;maxdrop;Total profit;TRADES;epoch
24.01.2019 02:21:18;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;2520.0;1160.0;300.04901960784315;230.5095541401274;0.5138888888888888;25020.0;361;24
24.01.2019 02:22:07;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;2400.0;3210.0;339.7752808988764;316.6019417475728;1.6201716738197425;-2370.0;192;24
24.01.2019 02:27:16;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;2520.0;720.0;348.23204419889504;199.16129032258064;1.3333333333333333;32160.0;336;25
24.01.2019 02:28:06;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;3190.0;2750.0;302.7155172413793;287.4021352313167;5.764705882352941;-10530.0;513;25
24.01.2019 02:33:07;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;3060.0;1260.0;329.6938775510204;212.98850574712642;19.0;27560.0;370;26
24.01.2019 02:33:57;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;3430.0;1920.0;372.1787709497207;259.8536585365854;12.285714285714286;13350.0;384;26
24.01.2019 02:39:02;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;2570.0;1260.0;307.0408163265306;204.71337579617835;2.6666666666666665;28040.0;353;27
24.01.2019 02:39:53;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;4040.0;3210.0;264.5762711864407;252.86713286713288;0.7254901960784313;5730.0;581;27
24.01.2019 02:44:53;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;2570.0;1340.0;299.8404255319149;232.86624203821657;2.142857142857143;19810.0;345;28
24.01.2019 02:45:42;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;4040.0;2590.0;330.3783783783784;310.20942408376965;1.7652439024390243;1870.0;376;28
24.01.2019 02:50:44;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;2520.0;1410.0;283.6363636363636;235.2439024390244;6.0;17580.0;362;29
24.01.2019 02:51:33;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;4040.0;2740.0;320.56497175141243;309.2708333333333;2.4156769596199523;-2640.0;369;29
24.01.2019 02:56:33;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;2570.0;1330.0;303.0541871921182;196.95652173913044;0.7027027027027027;29810.0;364;30
24.01.2019 02:57:23;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;2400.0;2590.0;294.646017699115;299.29906542056074;2.675287356321839;2540.0;440;30
24.01.2019 03:02:23;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;2580.0;1330.0;313.2275132275132;220.4093567251462;2.764705882352941;21510.0;360;31
24.01.2019 03:03:13;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;2400.0;2740.0;338.7755102040816;343.9240506329114;13.354430379746836;-4540.0;305;31
24.01.2019 03:08:15;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;2520.0;990.0;309.8192771084337;221.0071942446043;0.4805194805194805;20710.0;305;32
